postal_code,type,city_en
32126,POST_OFFICE,Damanewela
60130,POST_OFFICE,Dambadeniya
91050,POST_OFFICE,Dambagalla
90714,POST_OFFICE,Dambana
90161,POST_OFFICE,Dambetenna
21100,POST_OFFICE,Dambulla
70019,POST_OFFICE,Dambuluwana
51106,POST_OFFICE,Damminna
81612,POST_OFFICE,Dampahala
71034,POST_OFFICE,Damunupola
12148,POST_OFFICE,Danawala Thiniyawala
81476,POST_OFFICE,Dangala
21032,POST_OFFICE,Dankanda
61130,POST_OFFICE,Dankotuwa
11896,POST_OFFICE,Danowita
20465,POST_OFFICE,Danture
60174,POST_OFFICE,Daraluwa
71430,POST_OFFICE,Daraniyagala
70455,POST_OFFICE,Daugala
22096,POST_OFFICE,Dayagama Bazaar
11889,POST_OFFICE,Debahera
71037,POST_OFFICE,Debathgama
10656,POST_OFFICE,Dedigamuwa
71237,POST_OFFICE,Dedugala
20068,POST_OFFICE,Dedunupitiya
81452,POST_OFFICE,Deegala Lenama
60228,POST_OFFICE,Deegalla
32006,POST_OFFICE,Deegawapiya
60123,POST_OFFICE,Deekirikewa
71022,POST_OFFICE,Deewala Pallegama
32150,POST_OFFICE,Dehiattakandiya
90709,POST_OFFICE,Dehigama
71400,POST_OFFICE,Dehiowita
20739,POST_OFFICE,Dehipe
10350,POST_OFFICE,Dehiwala
31226,POST_OFFICE,Dehiwatte
81320,POST_OFFICE,Deiyandara
11690,POST_OFFICE,Dekatana
20658,POST_OFFICE,Dekinda
70042,POST_OFFICE,Dela
71009,POST_OFFICE,Deldeniya
40378,POST_OFFICE,Delft West
40370,POST_OFFICE,Delft
11700,POST_OFFICE,Delgoda
81477,POST_OFFICE,Dellawa
12304,POST_OFFICE,Delmella
71401,POST_OFFICE,Deloluwa
10302,POST_OFFICE,Deltara
20430,POST_OFFICE,Deltota
11228,POST_OFFICE,Delwagura
70046,POST_OFFICE,Delwala
60044,POST_OFFICE,Delwita
11692,POST_OFFICE,Demalagama
11270,POST_OFFICE,Demanhandiya
60024,POST_OFFICE,Demataluwa
50356,POST_OFFICE,Dematawewa
90080,POST_OFFICE,Demodara
70332,POST_OFFICE,Demuwatha
81314,POST_OFFICE,Denagama
81730,POST_OFFICE,Denipitiya
81500,POST_OFFICE,Deniyaya
81454,POST_OFFICE,Derangala
21552,POST_OFFICE,Devagiriya
32038,POST_OFFICE,Devalahinda
81160,POST_OFFICE,Devinuwara
70509,POST_OFFICE,Devipahala
51094,POST_OFFICE,Dewagala
21206,POST_OFFICE,Dewahuwa
11102,POST_OFFICE,Dewalapola
71050,POST_OFFICE,Dewalegama
71527,POST_OFFICE,Dewanagala
50027,POST_OFFICE,Dewanampiyatissapura
12090,POST_OFFICE,Dharga Town
60544,POST_OFFICE,Diddeniya
32008,POST_OFFICE,Digamadulla Weeragoda
20185,POST_OFFICE,Digana
70037,POST_OFFICE,Diganakanda
90132,POST_OFFICE,Diganatenna
60485,POST_OFFICE,Digannewa
90214,POST_OFFICE,Dikkapitiya
80654,POST_OFFICE,Dikkumbura
22050,POST_OFFICE,Dikoya
81200,POST_OFFICE,Dikwella
51031,POST_OFFICE,Dimbulagala
90324,POST_OFFICE,Dimbulana
51003,POST_OFFICE,Divulana
51428,POST_OFFICE,Divulankadawala
90726,POST_OFFICE,Divulapelessa
11250,POST_OFFICE,Divulapitiya
51104,POST_OFFICE,Divuldamana
11208,POST_OFFICE,Divuldeniya
60472,POST_OFFICE,Divullegoda
12308,POST_OFFICE,Diwalakada
51225,POST_OFFICE,Diyabeduma
